timestamp,open,high,low,close,volume
2019-05-13,16.9400,16.9400,16.9400,16.9400,0
2019-05-10,17.3500,17.3500,17.3500,17.3500,0
2019-05-09,17.2700,17.2700,17.2700,17.2700,0
2019-05-08,17.2800,17.2800,17.2800,17.2800,0
2019-05-07,17.3100,17.3100,17.3100,17.3100,0
2019-05-06,17.6000,17.6000,17.6000,17.6000,0
2019-05-03,17.6700,17.6700,17.6700,17.6700,0
2019-05-02,17.5100,17.5100,17.5100,17.5100,0
2019-05-01,17.5400,17.5400,17.5400,17.5400,0
2019-04-29,17.6500,17.6500,17.6500,17.6500,0
2019-04-25,17.5400,17.5400,17.5400,17.5400,0
2019-04-24,17.4800,17.4800,17.4800,17.4800,0
2019-04-23,17.5200,17.5200,17.5200,17.5200,0
2019-04-22,17.3600,17.3600,17.3600,17.3600,0
2019-04-18,17.3200,17.3200,17.3200,17.3200,0
2019-04-17,16.4613,16.4613,16.4613,16.4613,0
2019-04-16,17.3400,17.3400,17.3400,17.3400,0
2019-04-15,17.3500,17.3500,17.3500,17.3500,0
2019-04-12,17.3500,17.3500,17.3500,17.3500,0
2019-04-11,17.2300,17.2300,17.2300,17.2300,0
2019-04-10,17.2300,17.2300,17.2300,17.2300,0
2019-04-09,17.1600,17.1600,17.1600,17.1600,0
2019-04-08,17.2500,17.2500,17.2500,17.2500,0
2019-04-05,17.1600,17.1600,17.1600,17.1600,0
2019-04-04,17.1600,17.1600,17.1600,17.1600,0
2019-04-03,17.1400,17.1400,17.1400,17.1400,0
2019-04-02,17.1000,17.1000,17.1000,17.1000,0
2019-04-01,17.1000,17.1000,17.1000,17.1000,0
2019-03-29,16.9200,16.9200,16.9200,16.9200,0
2019-03-28,16.8000,16.8000,16.8000,16.8000,0
2019-03-27,16.7300,16.7300,16.7300,16.7300,0
2019-03-26,16.8100,16.8100,16.8100,16.8100,0
2019-03-25,16.6900,16.6900,16.6900,16.6900,0
2019-03-22,16.6800,16.6800,16.6800,16.6800,0
2019-03-21,17.0200,17.0200,17.0200,17.0200,0
2019-03-20,16.8300,16.8300,16.8300,16.8300,0
2019-03-19,16.8700,16.8700,16.8700,16.8700,0
2019-03-18,16.8800,16.8800,16.8800,16.8800,0
2019-03-15,16.7900,16.7900,16.7900,16.7900,0
